2631 -50
2632 -33
2633 -71 
2634 97
2636 -94
2637 -44
2641 55
2644 -16
2718 -65
2721 -16
2726 -35
2730 -56
2732 -6
2734 -76
2736 -26
2738 23
2740 -49
2798 1
2801 51
2803 100
2812 -12
2814 -32
2818 18
2819 68
2823 -4
2824 45
2827 25
2845 -31
2847 18
2850 -4
2852 46
2854 -25
2857 -96
2864 -46
2867 4
2868 -66
2878 -106
2881 -57
2883 -7
2887 42
2889 -28
2892 20
2896 -1
2899 48
2903 25
2905 5
2924 2
2932 30
2933 80
2937 58
2939 -12
2947 -34
2954 -7
2956 42
2958 -30
2960 19
2964 -52
2966 -2
2968 -73
2970 -24
2972 -45
2973 5
2979 -16
2981 -86
2983 -37
