0 0 969.627 15.9533
0 1 955.552 18.1491
0 2 971.261 13.6071
0 3 1017.08 15.1455
0 4 999.175 11.8944
0 5 1064.88 12.1393
0 6 1046.61 10.1803
0 7 1098.99 12.6586
0 8 1203.96 13.2097
0 9 1178.81 13.08
0 10 1180.95 17.3873
0 11 1231.69 12.6947
0 12 1164.49 13.2379
0 13 1188.55 13.9848
0 14 1269.75 14.125
0 15 1037.97 16.4994
1 0 1021.71 13.7432
1 1 954.078 11.5099
1 2 1108.22 12.1231
1 3 1026.43 16.2545
1 4 1146.77 31.7724
1 5 1032.23 13.945
1 6 1023.6 17.8866
1 7 1061.16 16.1125
1 8 1112.38 15.6274
1 9 1181.62 10.8107
1 10 1189.69 12.5612
1 11 1215.67 13.5571
1 12 1208.75 16.9334
1 13 1179.47 9.07671
1 14 1171.45 17.0629
1 15 1094.49 20.3299
1 16 1 1
