0 0 970.085 16.1247
0 1 957.041 18.6727
0 2 970.642 14.0111
0 3 1018.65 15.8282
0 4 996.363 11.8815
0 5 1066.72 12.7697
0 6 1047.85 10.501
0 7 1099.94 12.6105
0 8 1207.96 13.2813
0 9 1177.37 13.2627
0 10 1180.8 15.7341
0 11 1233.23 12.6666
0 12 1163.54 13.7072
0 13 1189.34 14.4341
0 14 1270.79 15.1453
0 15 1036.87 17.4546
1 0 1023.29 14.1684
1 1 954 11.907
1 2 1109.07 12.3037
1 3 1028.27 16.4548
1 4 1148.29 30.4838
1 5 1033.91 13.3635
1 6 1023.24 16.5405
1 7 1060.42 15.5127
1 8 1115.59 16.0985
1 9 1185.64 11.1618
1 10 1194.97 12.969
1 11 1218.46 13.8822
1 12 1210.33 17.8913
1 13 1179.84 9.32941
1 14 1173.02 17.7822
1 15 1096.36 21.4567
1 16 1 1
