PARAM_START
FORMAT:
TYPE:
VERSION
DATE:
COMMENT:
PARAM_END

DATA_START
GSOBAR 0 2 1 17 17.87 -0.37
GSOBAR 0 2 1 18 18.88 -0.38
GSOBAR 0 2 1 19 19.83 -0.33
GSOBAR 0 3 0 0 0.13 0.37
GSOBAR 0 3 0 1 1.13 0.37
GSOBAR 0 3 0 2 2.14 0.36
GSOBAR 0 3 0 3 3.16 0.34
GSOBAR 0 3 0 4 4.18 0.32
GSOBAR 0 3 0 5 5.15 0.35
GSOBAR 0 3 0 6 6.14 0.36
GSOBAR 0 3 0 7 7.17 0.33
GSOBAR 0 3 0 8 8.13 0.37
GSOBAR 0 3 0 9 9.16 0.34
GSOBAR 0 3 0 10 10.13 0.37
GSOBAR 0 3 0 11 11.14 0.36
GSOBAR 0 3 0 12 12.14 0
GSOBAR 0 3 0 13 13.13 0.37
GSOBAR 0 3 0 14 14.17 0.33
GSOBAR 0 3 0 15 15.18 0.32
GSOBAR 0 3 0 16 16.14 0.36
GSOBAR 0 3 0 17 17.18 0.32
GSOBAR 0 3 0 18 18.15 0.35
GSOBAR 0 3 0 19 19.09 0.41
GSOBAR 0 3 1 0 0.77 -0.27
GSOBAR 0 3 1 1 1.77 -0.27
GSOBAR 0 3 1 2 2.77 -0.27
GSOBAR 0 3 1 3 3.77 -0.27
GSOBAR 0 3 1 4 4.73 -0.23
GSOBAR 0 3 1 5 5.66 -0.16
GSOBAR 0 3 1 6 6.71 -0.21
GSOBAR 0 3 1 7 7.73 -0.23
GSOBAR 0 3 1 8 8.67 -0.17
GSOBAR 0 3 1 9 9.72 -0.22
GSOBAR 0 3 1 10 10.74 -0.24
GSOBAR 0 3 1 11 11.7 -0.2
GSOBAR 0 3 1 12 12.72 -0.22
GSOBAR 0 3 1 13 13.76 -0.26
GSOBAR 0 3 1 14 14.78 -0.28
GSOBAR 0 3 1 15 15.73 -0.23
GSOBAR 0 3 1 16 16.76 -0.26
GSOBAR 0 3 1 17 17.75 -0.25
GSOBAR 0 3 1 18 18.73 -0.23
GSOBAR 0 3 1 19 19.73 -0.23
GSOBAR 1 0 0 0 0.28 0.22
GSOBAR 1 0 0 1 1.35 0.15
GSOBAR 1 0 0 2 2.33 0.17
GSOBAR 1 0 0 3 3.34 0.16
GSOBAR 1 0 0 4 4.37 0.13
GSOBAR 1 0 0 5 5.37 0.13
GSOBAR 1 0 0 6 6.4 0.1
GSOBAR 1 0 0 7 7.36 0.14
GSOBAR 1 0 0 8 8.38 0.12
GSOBAR 1 0 0 9 9.41 0.09
GSOBAR 1 0 0 10 10.43 0.07
GSOBAR 1 0 0 11 11.43 0.07
GSOBAR 1 0 0 12 12.44 0.06
GSOBAR 1 0 0 13 13.48 0.02
GSOBAR 1 0 0 14 14.46 0.04
GSOBAR 1 0 0 15 15.46 0.04
GSOBAR 1 0 0 16 16.47 0.03
GSOBAR 1 0 0 17 17.49 0.01
GSOBAR 1 0 0 18 18.51 -0.01
GSOBAR 1 0 0 19 19.53 -0.03
GSOBAR 1 0 0 20 20.53 -0.03
GSOBAR 1 0 0 21 21.52 -0.02
GSOBAR 1 0 0 22 22.54 -0.04
GSOBAR 1 0 0 23 23.49 0.01
GSOBAR 1 0 0 24 24.57 -0.07
GSOBAR 1 0 0 25 25.54 -0.04
GSOBAR 1 0 0 26 26.57 -0.07
GSOBAR 1 0 0 27 27.58 -0.08
GSOBAR 1 0 0 28 28.58 -0.08
GSOBAR 1 0 0 29 29.6 -0.1
GSOBAR 1 0 0 30 30.63 -0.13
GSOBAR 1 0 0 31 31.62 -0.12
GSOBAR 1 0 0 32 32.64 -0.14
GSOBAR 1 0 0 33 33.58 -0.08
GSOBAR 1 0 0 34 34.63 -0.13
GSOBAR 1 0 0 35 35.63 -0.13
GSOBAR 1 0 0 36 36.65 -0.15
GSOBAR 1 0 0 37 37.64 -0.14
GSOBAR 1 0 0 38 38.64 -0.14
GSOBAR 1 0 0 39 39.55 -0.05
GSOBAR 1 0 1 0 0.38 0.12
GSOBAR 1 0 1 1 1.31 0.19
GSOBAR 1 0 1 2 2.33 0.17
GSOBAR 1 0 1 3 3.3 0.2
GSOBAR 1 0 1 4 4.34 0.16
GSOBAR 1 0 1 5 5.35 0.15
GSOBAR 1 0 1 6 6.37 0.13
GSOBAR 1 0 1 7 7.38 0.12
GSOBAR 1 0 1 8 8.44 0.06
GSOBAR 1 0 1 9 9.45 0.05
GSOBAR 1 0 1 10 10.46 0.04
GSOBAR 1 0 1 11 11.47 0.03
GSOBAR 1 0 1 12 12.44 0.06
GSOBAR 1 0 1 13 13.48 0.02
GSOBAR 1 0 1 14 14.51 -0.01
GSOBAR 1 0 1 15 15.49 0.01
GSOBAR 1 0 1 16 16.53 -0.03
GSOBAR 1 0 1 17 17.57 -0.07
GSOBAR 1 0 1 18 18.55 -0.05
GSOBAR 1 0 1 19 19.55 -0.05
GSOBAR 1 0 1 20 20.5 0
GSOBAR 1 0 1 21 21.55 -0.05
GSOBAR 1 0 1 22 22.58 -0.08
GSOBAR 1 0 1 23 23.56 -0.06
GSOBAR 1 0 1 24 24.58 -0.08
GSOBAR 1 0 1 25 25.57 -0.07
GSOBAR 1 0 1 26 26.55 -0.05
GSOBAR 1 0 1 27 27.54 -0.04
GSOBAR 1 0 1 28 28.58 -0.08
GSOBAR 1 0 1 29 29.54 -0.04
GSOBAR 1 0 1 30 30.58 -0.08
GSOBAR 1 0 1 31 31.55 -0.05
GSOBAR 1 0 1 32 32.52 -0.02
GSOBAR 1 0 1 33 33.52 -0.02
GSOBAR 1 0 1 34 34.53 -0.03
GSOBAR 1 0 1 35 35.57 -0.07
GSOBAR 1 0 1 36 36.56 -0.06
GSOBAR 1 0 1 37 37.6 -0.1
GSOBAR 1 0 1 38 38.63 -0.13
GSOBAR 1 0 1 39 39.61 -0.11
GSOBAR 1 1 0 0 0.18 0.32
GSOBAR 1 1 0 1 1.14 0.36
GSOBAR 1 1 0 2 2.16 0.34
GSOBAR 1 1 0 3 3.19 0.31
GSOBAR 1 1 0 4 4.21 0.29
GSOBAR 1 1 0 5 5.19 0.31
GSOBAR 1 1 0 6 6.21 0.29
GSOBAR 1 1 0 7 7.22 0.28
GSOBAR 1 1 0 8 8.23 0.27
GSOBAR 1 1 0 9 9.25 0.25
GSOBAR 1 1 0 10 10.28 0.22
GSOBAR 1 1 0 11 11.34 0.16
GSOBAR 1 1 0 12 12.29 0.21
GSOBAR 1 1 0 13 13.31 0.19
GSOBAR 1 1 0 14 14.32 0.18
GSOBAR 1 1 0 15 15.38 0.12
GSOBAR 1 1 0 16 16.38 0.12
GSOBAR 1 1 0 17 17.38 0.12
GSOBAR 1 1 0 18 18.37 0.13
GSOBAR 1 1 0 19 19.42 0.08
GSOBAR 1 1 0 20 20.36 0.14
GSOBAR 1 1 0 21 21.39 0.11
GSOBAR 1 1 0 22 22.44 0.06
GSOBAR 1 1 0 23 23.42 0.08
GSOBAR 1 1 0 24 24.42 0.08
