PARAM_START
FORMAT:  PARTICLE_DEFINE
TYPE:    1
VERSION: 201
DATE:    100928
COMMENT: Modified according to the study of dependency on Epics Version(old/8.81)
         Original : pdef_sps07_arm1_080828.out
         layer 1-9  : multiply by retio of mean dE at 150GeV electron
         the others : multiply by 1.085 
                      (from comparison between calculated dE's by electron and by muon) 
PARAM_END

DATA_START
DETECTOR   1
HV0   1000
ADC   0  0   38.501
ADC   0  1   44.198
ADC   0  2   34.512
ADC   0  3   34.044
ADC   0  4   43.116
ADC   0  5   34.103
ADC   0  6   41.199
ADC   0  7   32.704
ADC   0  8   35.783
ADC   0  9   43.957
ADC   0 10   33.734
ADC   0 11   30.191
ADC   0 12   41.868
ADC   0 13   39.126
ADC   0 14   37.217
ADC   0 15   40.650

HV1   1000
ADC   1  0   56.394
ADC   1  1   51.334
ADC   1  2   48.560
ADC   1  3   40.123
ADC   1  4   36.359
ADC   1  5   42.411
ADC   1  6   40.509
ADC   1  7   32.484
ADC   1  8   45.856
ADC   1  9   37.773
ADC   1 10   50.219
ADC   1 11   45.108
ADC   1 12   42.273
ADC   1 13   46.449
ADC   1 14   42.262
ADC   1 15   50.017

SCIFIHV 	950						
SCIF	0	0	0	0	127.91	500	57.74
SCIF	0	0	0	1	113.09	410	44.75
SCIF	0	0	0	2	162.68	651	68.23
SCIF	0	0	0	3	137.87	581	58.82
SCIF	0	0	0	4	171.39	698	72.93
SCIF	0	0	0	5	160.35	634	64.23
SCIF	0	0	0	6	177.5	748	74.29
SCIF	0	0	0	7	118.03	563	50.13
SCIF	0	0	0	8	174.74	780	76.51
SCIF	0	0	0	9	137.1	716	53.76
SCIF	0	0	0	10	146.09	783	63.37
SCIF	0	0	0	11	97.62	661	41.24
SCIF	0	0	0	12	140.21	787	54.2
SCIF	0	0	0	13	125.39	739	50.68
SCIF	0	0	0	14	75.01	595	30.7
SCIF	0	0	0	15	214.03	824	91.44
SCIF	0	0	0	16	202.94	648	78.66
SCIF	0	0	0	17	184.17	614	71.42
SCIF	0	0	0	18	184.59	599	74.47
SCIF	0	0	0	19	319.16	540	122.68
SCIF	0	0	1	0	393.32	577	179.85
SCIF	0	0	1	1	201.75	507	82.92
SCIF	0	0	1	2	254.93	687	107.87
SCIF	0	0	1	3	191.81	572	69.2
SCIF	0	0	1	4	195.8	642	81.11
SCIF	0	0	1	5	195.64	736	85.36
SCIF	0	0	1	6	175.79	677	75.21
SCIF	0	0	1	7	171.23	655	58.25
SCIF	0	0	1	8	201.36	753	75.33
SCIF	0	0	1	9	200.38	828	79.77
SCIF	0	0	1	10	173.45	688	62.96
SCIF	0	0	1	11	190.92	757	88.1
SCIF	0	0	1	12	160.96	567	59.33
SCIF	0	0	1	13	225.06	718	94.28
SCIF	0	0	1	14	243.61	721	95.26
SCIF	0	0	1	15	250.08	636	114.34
SCIF	0	0	1	16	228.02	503	92.87
SCIF	0	0	1	17	330.95	692	154.04
SCIF	0	0	1	18	235.34	475	94.59
SCIF	0	0	1	19	370.64	607	175.14
SCIF	0	1	0	0	114.76	399	51.9
SCIF	0	1	0	1	118.69	514	46.44
SCIF	0	1	0	2	169.61	667	72.28
