15.6115 4.06725
5.86878 13.6119
15.5 1.5
34.5 22.5
13.7862 14.6327
19.2522 15.8978
10.5 21.5
16.5 6.5
10.5 4.5
22.5 3.5
5.5 5.5
14.5 17.5
14.5 20.5
5.5 32.5
10.757 19.0544
18.5 31.5
33.4142 30.5354
1.5 6.5
16.1805 36.6654
10.5 24.5
0.5 4.5
2.76164 25.2646
2.5 4.5
8.5 28.5
12.5 15.5
14.5588 11.9709
32.5 35.5
4.5 11.5
0.702982 6.66691
2.5 14.5
16.5 11.5
14.5 9.5
1.51428 19.3306
9.5 27.5
37.5 4.5
4.5 10.5
17.8903 3.21872
1.72781 0.758116
11.5 9.5
37.6174 0.383656
16.5 30.5
10.8821 16.7828
9.50747 0.771351
24.5 18.5
15.5 2.5
9.5 7.5
13.0189 17.6626
34.5 34.5
6.66221 8.14656
11.5 18.5
38.5 8.5
22.5 32.5
29.5 12.5
13.5 17.5
0.533055 18.1132
14.5 3.5
39.3875 30.9596
8.5 13.5
1.78602 15.1852
32.5 21.5
9.5 2.5
3.5 7.5
15.5 4.5
10.8265 12.9615
14.2581 21.1312
20.5 24.5
32.5 3.5
22.5 23.5
27.461 5.10143
36.5 22.5
4.90462 14.7767
36.5 20.5
13.5 14.5
9.5 7.5
25.5 38.5
5.13823 26.274
10.5 19.5
19.5 7.5
18.3718 19.2995
22.5 12.5
23.5 34.5
8.65529 15.0742
25.5 3.5
30.6854 35.3884
13.5 16.5
38.3622 34.1851
6.68463 28.9953
1.70402 37.7815
3.5 10.5
0.84011 16.1171
20.5 9.5
26.5 16.5
26.5 18.5
32.5 33.5
27.5 39.5
13.5 13.5
20.5 4.5
11.5 5.5
16.5 14.5
11.5 19.5
9.5 7.5
4.5 4.5
30.5 29.5
30.5 34.5
25.3967 27.7619
6.92187 7.31099
7.72185 14.5836
4.37494 16.075
1.2039 8.61855
16.5 13.5
0.994559 4.28342
25.5 29.5
16.5 22.5
28.5 33.5
32.665 31.2012
26.5 9.5
22.5 16.5
25.7736 33.0721
15.2482 18.0126
18.5 2.5
6.5 1.5
24.5 10.5
2.5 16.5
21.243 11.5588
14.5 34.5
36.4793 4.57373
25.5 4.5
6.5 9.5
20.5 16.5
9.06646 29.4225
16.837 2.0033
14.5 13.5
11.2963 18.7798
20.5 26.5
2.86229 6.02176
9.5 5.5
28.3287 22.3242
4.5 11.5
4.5 16.5
6.5 7.5
16.0199 9.12568
4.80084 3.33574
